MM_DD_HH,L_dashdash_k_d_t,L_dashdash_s_d_t,L_dashdash_w_d_t,L_dashdash_b1_d_t,L_dashdash_b2_d_t,L_dashdash_ba1_d_t,L_dashdash_ba2_d_t,E_E_dmd_d_t
01_01_00,0,0,0,0,0,0,0,0.22925168
01_01_01,0,0,0,0,0,0,0,0.11975168
01_01_02,0,0,0,0,0,0,0,0.12755168
01_01_03,0,0,0,0,0,0,0,0.12755168
01_01_04,0,0,0,0,0,0,0,0.11975168
01_01_05,0,0,0,0,0,0,0,0.12755168
01_01_06,0,0,0,0,0,0,0,0.12755168
01_01_07,0,0,1.186287541,0,0,0,0,4.592257904
01_01_08,0.889715656,0,0.59314377,0,0,0,0,1.880908494
01_01_09,3.558862622,0,0,0,0,0,0,1.0683321
01_01_10,0,0,0.59314377,0,0,0,0,0.699941992
01_01_11,0,0,0,0,0,0,0,0.57116284
01_01_12,4.745150163,0,0,0,0,0,0,0.675630109
01_01_13,0,0,0.296571885,0,0,0,0,0.317971976
01_01_14,0,0,0,0,0,0,0,0.12755168
01_01_15,0,0,0,0,0,0,0,0.12755168
01_01_16,0,0,0.296571885,0,0,0,0,1.174193202
01_01_17,6.524581474,0,0.296571885,0,0,0,0,1.329852316
01_01_18,0.59314377,0,0,0,0,0,0,0.997551831
01_01_19,0,0,0,0,26.69146967,0,0,1.080785723
01_01_20,10.97315975,7.41429713,0.889715656,0,0,0,1.66234375,1.190350534
01_01_21,0,13.34573483,0.889715656,0,0,0,1.66234375,1.426164969
01_01_22,0,14.82859426,0.889715656,0,0,0,3.3246875,0.686990966
01_01_23,0,0,0.889715656,0,0,0,0,0.531057418
01_02_00,0,0,0,0,0,0,0,0.319713338
01_02_01,0,0,0,0,0,0,0,0.11975168
01_02_02,0,0,0,0,0,0,0,0.12755168
01_02_03,0,0,0,0,0,0,0,0.12755168
01_02_04,0,0,0,0,0,0,0,0.11975168
01_02_05,0,0,0,0,0,0,0,2.683201331
01_02_06,0.885598314,0,1.180797752,0,0,0,0,1.197314974
01_02_07,0.590398876,0,0,0,0,0,0,1.115076386
01_02_08,0,0,0,0,0,0,0,0.875671144
01_02_09,0,0,0.295199438,0,0,0,0,0.761183221
01_02_10,0,0,0,0,0,0,0,0.203001438
01_02_11,0,0,0,0,0,0,0,1.024730352
01_02_12,0.885598314,0,0,0,0,0,0,0.865336873
01_02_13,0,0,0,0,0,0,0,0.178388308
01_02_14,0,0,0,0,0,0,0,0.196753651
01_02_15,0,0,0,0,0,0,0,0.53136348
01_02_16,0,0,0.295199438,0,0,0,0,0.535915346
01_02_17,0,0,0,0,0,0,0,1.360419155
01_02_18,4.427991572,0,0,0,0,0,0,1.317208239
01_02_19,1.475997191,0,0,0,26.56794943,0,0,1.354594984
